STT,Giới tính sinh học,Bản dạng giới,Hấp dẫn tình cảm,Đối tượng hấp dẫn tình dục,Xu hướng tính dục (lần 1),Bạn có muốn xác định rõ thêm cho xu hướng tình cảm ,Bạn có thể bắt đầu mối quan hệ tình cảm với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng bắt đầu một mối quan hệ tình cảm một lần không?,Bạn nghĩ bạn được hấp dẫn tình cảm bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi bắt đầu một mối quan hệ hay không?",Bạn có muốn xác định rõ thêm cho xu hướng tình dục?,Bạn có thể quan hệ tình dục với người chưa quen biết nhiều hay không?,Bạn có thể lâu lâu có hứng quan hệ tình dục một lần không?,Bạn nghĩ bạn được hấp dẫn tình dục bởi bao nhiêu giới?,"Bạn có ""mù giới"" (tức không để ý giới và giới tính của đối phương) khi quan hệ tình dục hay không?",Xu hướng tính dục
732,Nữ ,Nữ,Nam và giới khác (2 giới),Nam,Song ái dị tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Song ái dị tính
733,Nữ ,Nữ,Nam và giới khác (2 giới),Nữ,Song ái đồng tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Song ái đồng tính
734,Nữ ,Nữ,Nam và giới khác (2 giới),Nữ và Nam,Song tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Song tính
735,Nữ ,Nữ,Nam và giới khác (2 giới),Nữ và giới khác (2 giới),Song tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Song tính
736,Nữ ,Nữ,Nam và giới khác (2 giới),Nam và giới khác (2 giới),Song tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Song tính
737,Nữ ,Nữ,Nam và giới khác (2 giới),Nhiều hơn hai giới ,Song ái toàn tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Tất cả các giới,Có,Bỏ,Bỏ,Song ái toàn tính (mù giới)
738,Nữ ,Nữ,Nam và giới khác (2 giới),Nhiều hơn hai giới ,Song ái toàn tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Tất cả các giới,Không,Bỏ,Bỏ,Song ái toàn tính (không mù giới)
739,Nữ ,Nữ,Nam và giới khác (2 giới),Nhiều hơn hai giới ,Song ái toàn tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Có,Nhiều hơn hai giới,Bỏ,Bỏ,Bỏ,Đa ái toàn tính
740,Nữ ,Nữ,Nam và giới khác (2 giới),Nhiều hơn hai giới ,Song ái toàn tính,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Song ái toàn tính
741,Nữ ,Nữ,Nhiều hơn hai giới ,Nam,Toàn ái dị tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (mù giới) dị tính
742,Nữ ,Nữ,Nhiều hơn hai giới ,Nam,Toàn ái dị tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (không mù giới) dị tính
743,Nữ ,Nữ,Nhiều hơn hai giới ,Nam,Toàn ái dị tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Đa ái dị tính
744,Nữ ,Nữ,Nhiều hơn hai giới ,Nam,Toàn ái dị tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái dị tính
745,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ,Toàn ái đồng tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (mù giới) đồng tính
746,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ,Toàn ái đồng tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (không mù giới) đồng tính
747,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ,Toàn ái đồng tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Đa ái đồng tính
748,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ,Toàn ái đồng tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái đồng tính
749,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ và Nam,Toàn ái song tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (mù giới) song tính
750,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ và Nam,Toàn ái song tính,Có ,Bỏ,Bỏ,Tất cả các giới,Không,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (không mù giới) song tính
751,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ và Nam,Toàn ái song tính,có ,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Đa ái song tính
752,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ và giới khác (2 giới),Toàn ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái song tính
753,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ và giới khác (2 giới),Toàn ái song tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (mù giới) song tính
754,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ và giới khác (2 giới),Toàn ái song tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (không mù giới) song tính
755,Nữ ,Nữ,Nhiều hơn hai giới ,Nữ và giới khác (2 giới),Toàn ái song tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Đa ái song tính
756,Nữ ,Nữ,Nhiều hơn hai giới ,Nam và giới khác (2 giới),Toàn ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái song tính
757,Nữ ,Nữ,Nhiều hơn hai giới ,Nam và giới khác (2 giới),Toàn ái song tính,Có ,Bỏ,Bỏ,Tất cả các giới,Có,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (mù giới) song tính
758,Nữ ,Nữ,Nhiều hơn hai giới ,Nam và giới khác (2 giới),Toàn ái song tính,Có ,Bỏ,Bỏ,Tất cả các giới,Không,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (không mù giới) song tính
759,Nữ ,Nữ,Nhiều hơn hai giới ,Nam và giới khác (2 giới),Toàn ái song tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Đa ái song tính
760,Nữ ,Nữ,Nhiều hơn hai giới ,Nam và giới khác (2 giới),Toàn ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái song tính
761,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có ,Bỏ,Bỏ,Tất cả các giới,Có,Có,Bỏ,Bỏ,Tất cả các giới,Có,Toàn tính (mù giới)
762,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có ,Bỏ,Bỏ,Tất cả các giới,Có,Có,Bỏ,Bỏ,Tất cả các giới,Không,Toàn ái (mù giới) toàn tính (không mù giới)
763,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Toàn ái đa tính
764,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có ,Bỏ,Bỏ,Tất cả các giới,Không,Có,Bỏ,Bỏ,Tất cả các giới,Có,Toàn ái  (không mù giới) toàn tính (mù giới)
765,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Có,Bỏ,Bỏ,Tất cả các giới,Không,Toàn ái toàn tính (không mù giới)
766,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Không,Bỏ,Bỏ,Tất cả các giới,Không,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Toàn ái (không mù giới) đa tính
767,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có ,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Đa ái toàn tính (mù giới)
768,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có ,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Đa ái toàn tính (không mù giới)
769,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Đa tính
770,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn tính
771,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có,Bỏ,Bỏ,Tất cả các giới,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Toán ái (mù giới) toàn tính
772,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có,Bỏ,Bỏ,Tất cả các giới,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Toàn ái (không mù giới) toàn tính
773,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Đa ái toàn tính
774,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Không,Toàn ái toàn tính (không mù giới)
775,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Bỏ,Bỏ,Nhiều hơn hai giới,Bỏ,Toàn ái đa tính
776,Nữ ,Nữ,Nhiều hơn hai giới ,Nhiều hơn hai giới ,Toàn tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Bỏ,Bỏ,Tất cả các giới,Có,Toàn ái toàn tính (mù giới)
777,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nam á tính 
778,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nam á tính 
779,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nam bán vô tính
780,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nam vô tính
781,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nam vô tính
782,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nam bán vô tính
783,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nam á tính 
784,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nam á ái bán vô tính
785,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nam á ái vô tính
786,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nam á ái vô tính
787,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Có,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nam á ái bán vô tính
788,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nam á tính 
789,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nam á ái bán vô tính
790,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nam á ái vô tính
791,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Không,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nam á ái vô tính
792,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không ,Không,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nam á ái bán vô tính
793,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nam bán vô ái á tính
794,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nam bán vô ái á tính
795,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nam bán vô ái vô tính
796,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nam bán vô ái vô tính
797,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nam bán vô tính
798,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái á tính
799,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nam vô ái á tính
800,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái bán vô tính
801,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nam vô tính
802,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái bán vô tính
803,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái á tính
804,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nam vô ái á tính
805,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,chuyển giới Nam vô ái bán vô tính
806,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nam vô tính
807,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Không,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái bán vô tính
808,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nam bán vô ái á tính
809,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nam bán vô ái á tính
810,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nam bán vô tính
811,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nam bán vô ái vô tính
812,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Có,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nam bán vô ái vô tính
813,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái vô tính
814,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyến giới Nam á ái vô tính
815,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái vô tính
816,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Không hẳn,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô tính
817,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô tính
818,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Có,Có,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái vô tính
819,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái á tính
820,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không,Không,Bỏ,Bỏ,Chuyển giới Nam vô ái á tính
821,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái bán vô tính
822,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Không hẳn,Không,Bỏ,Bỏ,Chuyển giới Nam vô tính
823,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Không,Bỏ,Bỏ,Chuyển giới Nam vô tính
824,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Có,Có,Có,Bỏ,Bỏ,Chuyển giới Nam vô ái bán vô tính
825,Nữ ,Nam,Không,Không,Chuyển giới Nam vô tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam ô tính
826,Nữ ,Nam,Không,Nam,Chuyển giới Nam vô ái đồng tính,Có,Không,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái đồng tính
827,Nữ ,Nam,Không,Nam,Chuyển giới Nam vô ái đồng tính,Có,Không,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Á ái đồng tính
828,Nữ ,Nam,Không,Nam,Chuyển giới Nam vô ái đồng tính,Có,Không hẳn,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái đồng tính
829,Nữ ,Nam,Không,Nam,Chuyển giới Nam vô ái đồng tính,Có,Không hẳn,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái đồng tính
830,Nữ ,Nam,Không,Nam,Chuyển giới Nam vô ái đồng tính,Có,Có,Không,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái đồng tính
831,Nữ ,Nam,Không,Nam,Chuyển giới Nam vô ái đồng tính,Có,Có,Có,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái đồng tính
832,Nữ ,Nam,Không,Nam,Chuyển giới Nam vô ái đồng tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Không,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái đồng tính
833,Nữ ,Nam,Không,Nữ,Chuyển giới Nam vô ái dị tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái dị tính
834,Nữ ,Nam,Không,Nữ,Chuyển giới Nam vô ái dị tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái dị tính
835,Nữ ,Nam,Không,Nữ,Chuyển giới Nam vô ái dị tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái dị tính
836,Nữ ,Nam,Không,Nữ,Chuyển giới Nam vô ái dị tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái dị tính
837,Nữ ,Nam,Không,Nữ,Chuyển giới Nam vô ái dị tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái dị tính
838,Nữ ,Nam,Không,Nữ,Chuyển giới Nam vô ái dị tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái dị tính
839,Nữ ,Nam,Không,Nữ,Chuyển giới Nam vô ái dị tính,không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái dị tính
840,Nữ ,Nam,Không,Nữ và Nam,Chuyển giới Nam vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái song tính
841,Nữ ,Nam,Không,Nữ và Nam,Chuyển giới Nam vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái song tính
842,Nữ ,Nam,Không,Nữ và Nam,Chuyển giới Nam vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái song tính
843,Nữ ,Nam,Không,Nữ và Nam,Chuyển giới Nam vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái song tính
844,Nữ ,Nam,Không,Nữ và Nam,Chuyển giới Nam vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái song tính
845,Nữ ,Nam,Không,Nữ và Nam,Chuyển giới Nam vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái song tính
846,Nữ ,Nam,Không,Nữ và Nam,Chuyển giới Nam vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái song tính
847,Nữ ,Nam,Không,Nữ và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái song tính
848,Nữ ,Nam,Không,Nữ và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái song tính
849,Nữ ,Nam,Không,Nữ và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Không hẳn,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái song tính
850,Nữ ,Nam,Không,Nữ và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Không hẳn,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái song tính
851,Nữ ,Nam,Không,Nữ và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Có,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái song tính
852,Nữ ,Nam,Không,Nữ và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Có,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam bán vô ái song tính
853,Nữ ,Nam,Không,Nữ và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam vô ái song tính
854,Nữ ,Nam,Không,Nam và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Không,Có,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái song tính
855,Nữ ,Nam,Không,Nam và giới khác (2 giới),Chuyển giới Nam vô ái song tính,Có,Không,Không,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Bỏ,Chuyển giới Nam á ái song tính
